team_a_color,team_b_color,team_in_possession,ball_zone,team_a_attack_sec,team_b_attack_sec,team_a_pressing_intensity,team_a_block_height,team_a_half_space_occupancy,team_a_vertical_compactness,team_a_build_up_shape,team_a_attacking_tempo,team_a_transition_threat,team_a_striker_profile,team_a_fullback_role,team_a_pressing_trigger,team_a_rest_defense_shape,team_a_attacking_bias,team_a_defensive_line_action,team_b_pressing_intensity,team_b_block_height,team_b_half_space_occupancy,team_b_vertical_compactness,team_b_build_up_shape,team_b_attacking_tempo,team_b_transition_threat,team_b_striker_profile,team_b_fullback_role,team_b_pressing_trigger,team_b_rest_defense_shape,team_b_attacking_bias,team_b_defensive_line_action,timestamp,team_a_has_ball,team_b_has_ball,team_a_trans_threat,team_b_trans_threat,zone_numeric,team_a_tempo_num,team_b_tempo_num,team_a_raw_threat,team_b_raw_threat,net_momentum,smoothed_net_momentum
red,blue,red,middle_third,10,7,7,high,2,standard,2-3,fast_direct,counter_attack,channel_runner,overlapping,gegenpress,2-3,central_channel,step_up,5,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,drop_deep,00:00-01:00,1,0,counter_attack,sustained_build,1.5,2,1,13.0,0.0,13.0,13.0
red,blue,red,attacking_third,35,0,7,high,3,standard,3-2,sustained_high_pressure,none,channel_runner,overlapping,gegenpress,unstructured,right_flank,step_up,1,low,4,tight,4-2,patient_possession,sustained_build,channel_runner,defensive,none,unstructured,central_channel,drop_deep,01:00-02:00,1,0,none,sustained_build,3.0,2,1,12.0,0.0,12.0,12.5
red,blue,blue,attacking_third,0,41,7,low,3,tight,none,none,none,none,defensive,backward_pass,unstructured,none,drop_deep,0,none,2,standard,2-3,sustained_high_pressure,sustained_build,target_man,overlapping,none,2-3,left_flank,none,02:00-03:00,0,1,none,sustained_build,3.0,0,2,0.0,11.0,-11.0,0.5
red,blue,red,middle_third,15,0,1,mid,2,standard,3-2,patient_possession,sustained_build,channel_runner,overlapping,none,2-3,left_flank,step_up,4,mid,2,standard,2-3,none,none,target_man,defensive,loss_of_possession,3-2,central_channel,drop_deep,03:00-04:00,1,0,sustained_build,none,1.5,1,0,6.5,0.0,6.5,-2.25
red,blue,red,middle_third,15,0,8,high,1,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,2-3,right_flank,step_up,4,mid,2,tight,none,none,none,none,defensive,loss_of_possession,unstructured,none,drop_deep,04:00-05:00,1,0,sustained_build,none,1.5,2,0,7.0,0.0,7.0,6.75
red,blue,blue,middle_third,0,9,4,mid,2,standard,none,none,none,none,defensive,loss_of_possession,unstructured,none,drop_deep,1,none,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,none,3-2,right_flank,step_up,05:00-06:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,0.25
red,blue,red,middle_third,8,0,3,none,2,stretched,4-2,patient_possession,sustained_build,channel_runner,overlapping,none,3-2,right_flank,none,5,mid,3,standard,none,none,none,none,defensive,loss_of_possession,none,none,drop_deep,06:00-07:00,1,0,sustained_build,none,1.5,1,0,6.5,0.0,6.5,0.0
red,blue,blue,middle_third,10,14,8,high,2,standard,2-3,sustained_high_pressure,sustained_build,target_man,overlapping,gegenpress,2-3,left_flank,step_up,8,high,2,standard,2-3,patient_possession,sustained_build,target_man,overlapping,gegenpress,2-3,right_flank,step_up,07:00-08:00,0,1,sustained_build,sustained_build,1.5,2,1,0.0,6.5,-6.5,0.0
red,blue,blue,attacking_third,0,47,3,low,3,tight,2-3,none,none,channel_runner,defensive,loss_of_possession,unstructured,central_channel,drop_deep,7,high,3,tight,3-2,sustained_high_pressure,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,step_up,08:00-09:00,0,1,none,sustained_build,3.0,0,2,0.0,12.0,-12.0,-9.25
red,blue,blue,middle_third,0,12,7,mid,2,standard,2-3,none,none,channel_runner,defensive,loss_of_possession,2-3,central_channel,drop_deep,6,mid,2,stretched,3-2,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,left_flank,step_up,09:00-10:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,-9.25
