team_a_color,team_b_color,team_in_possession,ball_zone,team_a_attack_sec,team_b_attack_sec,team_a_pressing_intensity,team_a_block_height,team_a_half_space_occupancy,team_a_vertical_compactness,team_a_build_up_shape,team_a_attacking_tempo,team_a_transition_threat,team_a_striker_profile,team_a_fullback_role,team_a_pressing_trigger,team_a_rest_defense_shape,team_a_attacking_bias,team_a_defensive_line_action,team_b_pressing_intensity,team_b_block_height,team_b_half_space_occupancy,team_b_vertical_compactness,team_b_build_up_shape,team_b_attacking_tempo,team_b_transition_threat,team_b_striker_profile,team_b_fullback_role,team_b_pressing_trigger,team_b_rest_defense_shape,team_b_attacking_bias,team_b_defensive_line_action,timestamp,team_a_has_ball,team_b_has_ball,team_a_trans_threat,team_b_trans_threat,zone_numeric,team_a_tempo_num,team_b_tempo_num,team_a_raw_threat,team_b_raw_threat,net_momentum,smoothed_net_momentum
light_blue,dark_blue,light_blue,attacking_third,35,0,1,mid,2,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,none,3-2,central_channel,step_up,7,high,3,tight,4-2,none,none,channel_runner,defensive,backward_pass,unstructured,central_channel,step_up,00:00-01:00,1,0,sustained_build,none,3.0,2,0,11.0,0.0,11.0,11.0
light_blue,dark_blue,dark_blue,defensive_third,8,0,8,high,2,tight,2-3,fast_direct,fast_vertical_transition,channel_runner,overlapping,gegenpress,2-3,left_flank,step_up,5,mid,2,standard,3-2,patient_possession,none,false_9,defensive,loss_of_possession,3-2,central_channel,drop_deep,01:00-02:00,0,1,fast_vertical_transition,none,0.5,2,1,0.0,4.5,-4.5,3.25
light_blue,dark_blue,light_blue,attacking_third,34,0,8,high,3,tight,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,3-2,central_channel,step_up,2,low,4,tight,none,none,none,none,defensive,none,unstructured,none,drop_deep,02:00-03:00,1,0,sustained_build,none,3.0,2,0,12.0,0.0,12.0,3.75
light_blue,dark_blue,light_blue,attacking_third,31,0,7,high,3,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,2-3,central_channel,step_up,4,low,4,tight,unstructured,none,counter_attack,channel_runner,defensive,none,unstructured,none,drop_deep,03:00-04:00,1,0,sustained_build,counter_attack,3.0,2,0,12.0,0.0,12.0,12.0
light_blue,dark_blue,light_blue,attacking_third,25,0,0,mid,2,standard,3-2,sustained_high_pressure,sustained_build,channel_runner,overlapping,none,2-3,central_channel,step_up,4,low,3,tight,4-2,none,none,target_man,defensive,loss_of_possession,unstructured,central_channel,drop_deep,04:00-05:00,1,0,sustained_build,none,3.0,2,0,11.0,0.0,11.0,11.5
light_blue,dark_blue,light_blue,middle_third,25,0,8,high,2,tight,4-2,sustained_high_pressure,sustained_build,target_man,overlapping,gegenpress,3-2,right_flank,step_up,4,low,3,tight,none,none,none,none,defensive,loss_of_possession,unstructured,none,drop_deep,05:00-06:00,1,0,sustained_build,none,1.5,2,0,8.0,0.0,8.0,9.5
light_blue,dark_blue,light_blue,middle_third,0,5,5,mid,2,standard,4-2,patient_possession,none,channel_runner,inverted,backward_pass,2-3,central_channel,step_up,8,high,2,tight,3-2,patient_possession,none,channel_runner,overlapping,gegenpress,3-2,right_flank,drop_deep,06:00-07:00,1,0,none,none,1.5,1,1,6.5,0.0,6.5,7.25
light_blue,dark_blue,light_blue,attacking_third,33,0,1,mid,3,standard,3-box-3,sustained_high_pressure,sustained_build,false_9,overlapping,none,2-3,central_channel,step_up,1,low,4,tight,2-3,none,none,none,defensive,none,3-2,central_channel,drop_deep,07:00-08:00,1,0,sustained_build,none,3.0,2,0,12.0,0.0,12.0,9.25
light_blue,dark_blue,dark_blue,middle_third,0,10,6,mid,2,standard,2-3,patient_possession,none,channel_runner,defensive,backward_pass,3-2,central_channel,drop_deep,6,high,2,standard,3-box-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,3-2,central_channel,step_up,08:00-09:00,0,1,none,sustained_build,1.5,1,1,0.0,6.5,-6.5,2.75
light_blue,dark_blue,dark_blue,middle_third,0,4,7,high,2,standard,3-2,none,none,false_9,overlapping,gegenpress,3-2,central_channel,step_up,8,mid,2,tight,4-2,fast_direct,counter_attack,channel_runner,defensive,loss_of_possession,3-2,central_channel,drop_deep,09:00-10:00,0,1,none,counter_attack,1.5,0,2,0.0,13.0,-13.0,-9.75
light_blue,dark_blue,light_blue,middle_third,13,13,6,high,2,standard,2-3,patient_possession,none,false_9,overlapping,gegenpress,2-3,central_channel,step_up,6,mid,2,standard,3-2,patient_possession,sustained_build,target_man,defensive,loss_of_possession,2-3,central_channel,drop_deep,10:00-11:00,1,0,none,sustained_build,1.5,1,1,6.5,0.0,6.5,-3.25
light_blue,dark_blue,light_blue,attacking_third,15,0,8,high,3,stretched,2-3,dead_ball_stoppage,sustained_build,channel_runner,overlapping,gegenpress,3-2,central_channel,step_up,3,low,4,tight,unstructured,dead_ball_stoppage,counter_attack,false_9,defensive,none,unstructured,none,drop_deep,11:00-12:00,1,0,sustained_build,counter_attack,3.0,0,0,9.0,0.0,9.0,7.75
light_blue,dark_blue,dark_blue,middle_third,0,25,4,low,2,tight,none,none,none,none,defensive,none,unstructured,none,drop_deep,0,none,3,standard,3-2,sustained_high_pressure,sustained_build,channel_runner,overlapping,none,3-2,left_flank,step_up,12:00-13:00,0,1,none,sustained_build,1.5,0,2,0.0,9.0,-9.0,0.0
light_blue,dark_blue,dark_blue,defensive_third,0,0,7,high,2,standard,2-3,dead_ball_stoppage,none,channel_runner,inverted,loss_of_possession,2-3,central_channel,step_up,3,low,1,stretched,3-2,dead_ball_stoppage,sustained_build,target_man,overlapping,none,3-2,central_channel,step_up,13:00-14:00,0,1,none,sustained_build,0.5,0,0,0.0,2.0,-2.0,-5.5
light_blue,dark_blue,light_blue,middle_third,11,0,8,high,3,standard,3-2,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,3-2,central_channel,step_up,5,mid,2,standard,4-2,none,counter_attack,channel_runner,defensive,loss_of_possession,unstructured,central_channel,drop_deep,14:00-15:00,1,0,sustained_build,counter_attack,1.5,2,0,9.0,0.0,9.0,3.5
