team_a_color,team_b_color,team_in_possession,ball_zone,team_a_attack_sec,team_b_attack_sec,team_a_pressing_intensity,team_a_block_height,team_a_half_space_occupancy,team_a_vertical_compactness,team_a_build_up_shape,team_a_attacking_tempo,team_a_transition_threat,team_a_striker_profile,team_a_fullback_role,team_a_pressing_trigger,team_a_rest_defense_shape,team_a_attacking_bias,team_a_defensive_line_action,team_b_pressing_intensity,team_b_block_height,team_b_half_space_occupancy,team_b_vertical_compactness,team_b_build_up_shape,team_b_attacking_tempo,team_b_transition_threat,team_b_striker_profile,team_b_fullback_role,team_b_pressing_trigger,team_b_rest_defense_shape,team_b_attacking_bias,team_b_defensive_line_action,timestamp,team_a_has_ball,team_b_has_ball,team_a_trans_threat,team_b_trans_threat,zone_numeric,team_a_tempo_num,team_b_tempo_num,team_a_raw_threat,team_b_raw_threat,net_momentum,smoothed_net_momentum
white,maroon,maroon,middle_third,10,0,8,high,2,standard,2-3,patient_possession,none,channel_runner,overlapping,gegenpress,3-2,right_flank,step_up,4,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,defensive,none,3-2,central_channel,step_up,00:00-01:00,0,1,none,sustained_build,1.5,1,1,0.0,6.5,-6.5,-6.5
white,maroon,white,attacking_third,31,0,7,high,2,standard,unstructured,sustained_high_pressure,sustained_build,target_man,overlapping,gegenpress,3-2,right_flank,step_up,3,low,3,tight,none,none,none,none,defensive,none,unstructured,central_channel,drop_deep,01:00-02:00,1,0,sustained_build,none,3.0,2,0,11.0,0.0,11.0,2.25
white,maroon,white,middle_third,10,0,6,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,right_flank,step_up,5,mid,2,standard,2-3,patient_possession,none,channel_runner,defensive,loss_of_possession,2-3,central_channel,drop_deep,02:00-03:00,1,0,sustained_build,none,1.5,1,1,6.5,0.0,6.5,8.75
white,maroon,maroon,middle_third,0,15,4,mid,2,standard,none,none,none,none,defensive,none,unstructured,none,drop_deep,0,none,2,stretched,2-3,patient_possession,sustained_build,false_9,overlapping,none,3-2,left_flank,none,03:00-04:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,0.0
white,maroon,white,middle_third,19,0,1,mid,2,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,none,2-3,right_flank,step_up,2,low,3,tight,none,none,none,none,defensive,none,unstructured,central_channel,drop_deep,04:00-05:00,1,0,sustained_build,none,1.5,2,0,8.0,0.0,8.0,0.75
white,maroon,white,middle_third,17,0,7,mid,2,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,2-3,right_flank,step_up,2,low,3,tight,4-2,none,none,target_man,defensive,none,unstructured,central_channel,drop_deep,05:00-06:00,1,0,sustained_build,none,1.5,2,0,8.0,0.0,8.0,8.0
white,maroon,white,attacking_third,35,0,1,mid,2,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,none,3-2,central_channel,step_up,3,low,4,tight,4-2,none,none,target_man,defensive,none,unstructured,central_channel,drop_deep,06:00-07:00,1,0,sustained_build,none,3.0,2,0,11.0,0.0,11.0,9.5
white,maroon,maroon,attacking_third,0,60,1,low,0,tight,none,none,none,none,defensive,none,unstructured,none,drop_deep,9,high,3,tight,none,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,2-3,central_channel,step_up,07:00-08:00,0,1,none,sustained_build,3.0,0,2,0.0,12.0,-12.0,-0.5
white,maroon,white,attacking_third,46,0,8,high,3,stretched,4-2,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,3-2,central_channel,step_up,3,low,4,tight,none,none,none,none,defensive,none,unstructured,none,drop_deep,08:00-09:00,1,0,sustained_build,none,3.0,2,0,12.0,0.0,12.0,0.0
white,maroon,white,attacking_third,45,0,8,high,3,standard,4-2,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,2-3,central_channel,step_up,3,low,2,tight,4-2,none,counter_attack,channel_runner,defensive,none,unstructured,central_channel,drop_deep,09:00-10:00,1,0,sustained_build,counter_attack,3.0,2,0,12.0,0.0,12.0,12.0
